index ,code        ,current     ,time
  306 ,000597.XSHE ,     4.8    ,2024-03-19 15:00:00
  307 ,000598.XSHE ,     6.32   ,2024-03-19 15:00:00
  308 ,000599.XSHE ,     4.66   ,2024-03-19 15:00:00
  309 ,000600.XSHE ,     6.16   ,2024-03-19 15:00:00
  310 ,000601.XSHE ,     3.69   ,2024-03-19 15:00:00
  311 ,000603.XSHE ,    11.22   ,2024-03-19 15:00:00
  312 ,000605.XSHE ,     5.06   ,2024-03-19 15:00:00
  313 ,000607.XSHE ,     4.18   ,2024-03-19 15:00:00
  314 ,000608.XSHE ,     2.16   ,2024-03-19 15:00:00
  315 ,000609.XSHE ,     5.07   ,2024-03-19 15:00:00
  316 ,000610.XSHE ,    13.43   ,2024-03-19 15:00:00
  317 ,000612.XSHE ,     5.51   ,2024-03-19 15:00:00
  318 ,000615.XSHE ,     2.73   ,2024-03-19 15:00:00
  319 ,000617.XSHE ,     5.85   ,2024-03-19 15:00:00
  320 ,000619.XSHE ,     5.39   ,2024-03-19 15:00:00
  321 ,000620.XSHE ,     1.84   ,2024-03-19 15:00:00
  322 ,000622.XSHE ,     3.09   ,2024-03-19 15:00:00
  323 ,000623.XSHE ,    14.98   ,2024-03-19 15:00:00
  324 ,000625.XSHE ,    17.27   ,2024-03-19 15:00:00
  325 ,000626.XSHE ,     5.48   ,2024-03-19 15:00:00
  326 ,000627.XSHE ,     2.6    ,2024-03-19 15:00:00
  327 ,000628.XSHE ,    88.61   ,2024-03-19 15:00:00
  328 ,000629.XSHE ,     3.33   ,2024-03-19 15:00:00
  329 ,000630.XSHE ,     3.89   ,2024-03-19 15:00:00
  330 ,000631.XSHE ,     2.88   ,2024-03-19 15:00:00
  331 ,000632.XSHE ,     3.58   ,2024-03-19 15:00:00
  332 ,000633.XSHE ,     5.93   ,2024-03-19 15:00:00
  333 ,000635.XSHE ,     7.4    ,2024-03-19 15:00:00
  334 ,000636.XSHE ,    12.7    ,2024-03-19 15:00:00
  335 ,000637.XSHE ,     3.27   ,2024-03-19 15:00:00
  336 ,000638.XSHE ,     5.7    ,2024-03-19 15:00:00
  337 ,000639.XSHE ,     3.3    ,2024-03-19 15:00:00
  338 ,000650.XSHE ,     6.63   ,2024-03-19 15:00:00
  339 ,000651.XSHE ,    38.28   ,2024-03-19 15:00:00
  340 ,000652.XSHE ,     3.59   ,2024-03-19 15:00:00
  341 ,000655.XSHE ,     6.21   ,2024-03-19 15:00:00
  342 ,000656.XSHE ,     1.52   ,2024-03-19 15:00:00
  343 ,000657.XSHE ,    11.08   ,2024-03-19 15:00:00
  344 ,000659.XSHE ,     2.07   ,2024-03-19 15:00:00
  345 ,000661.XSHE ,   132.5    ,2024-03-19 15:00:00
  346 ,000663.XSHE ,     6.65   ,2024-03-19 15:00:00
  347 ,000665.XSHE ,     4.39   ,2024-03-19 15:00:00
  348 ,000668.XSHE ,     8.91   ,2024-03-19 15:00:00
  349 ,000669.XSHE ,     1.73   ,2024-03-19 15:00:00
  350 ,000670.XSHE ,     6.01   ,2024-03-19 15:00:00
  351 ,000672.XSHE ,     7.59   ,2024-03-19 15:00:00
  352 ,000676.XSHE ,     7.67   ,2024-03-19 15:00:00
  353 ,000677.XSHE ,     2.88   ,2024-03-19 15:00:00
  354 ,000678.XSHE ,     5.79   ,2024-03-19 15:00:00
  355 ,000679.XSHE ,     4.15   ,2024-03-19 15:00:00
  356 ,000680.XSHE ,     6.79   ,2024-03-19 15:00:00
  357 ,000681.XSHE ,    14.31   ,2024-03-19 15:00:00
  358 ,000682.XSHE ,     9.4    ,2024-03-19 15:00:00
  359 ,000682.XSHG ,  1004.6279 ,2024-03-19 15:00:00
  360 ,000683.XSHE ,     6.13   ,2024-03-19 15:00:00
  361 ,000683.XSHG ,   956.7814 ,2024-03-19 15:00:00
  362 ,000685.XSHE ,     7.62   ,2024-03-19 15:00:00
  363 ,000685.XSHG ,  1114.3137 ,2024-03-19 15:00:00
  364 ,000686.XSHE ,     7.04   ,2024-03-19 15:00:00
  365 ,000687.XSHG ,   964.897  ,2024-03-19 15:00:00
  366 ,000688.XSHE ,    11.49   ,2024-03-19 15:00:00
  367 ,000688.XSHG ,   812.0698 ,2024-03-19 15:00:00
  368 ,000689.XSHG ,   769.7574 ,2024-03-19 15:00:00
  369 ,000690.XSHE ,     4.95   ,2024-03-19 15:00:00
  370 ,000690.XSHG ,   875.4643 ,2024-03-19 15:00:00
  371 ,000691.XSHE ,     3.89   ,2024-03-19 15:00:00
  372 ,000692.XSHE ,     2.96   ,2024-03-19 15:00:00
  373 ,000692.XSHG ,  1100.4866 ,2024-03-19 15:00:00
  374 ,000693.XSHG ,  1029.8692 ,2024-03-19 15:00:00
  375 ,000695.XSHE ,     8.9    ,2024-03-19 15:00:00
  376 ,000695.XSHG ,   700.7255 ,2024-03-19 15:00:00
  377 ,000697.XSHE ,     6.81   ,2024-03-19 15:00:00
  378 ,000697.XSHG ,   946.325  ,2024-03-19 15:00:00
  379 ,000698.XSHE ,     3.67   ,2024-03-19 15:00:00
  380 ,000698.XSHG ,   916.6391 ,2024-03-19 15:00:00
  381 ,000700.XSHE ,     6.86   ,2024-03-19 15:00:00
  382 ,000701.XSHE ,     4.42   ,2024-03-19 15:00:00
  383 ,000702.XSHE ,     4.46   ,2024-03-19 15:00:00
  384 ,000703.XSHE ,     6.69   ,2024-03-19 15:00:00
  385 ,000705.XSHE ,     8.16   ,2024-03-19 15:00:00
  386 ,000707.XSHE ,     7.11   ,2024-03-19 15:00:00
  387 ,000708.XSHE ,    14.96   ,2024-03-19 15:00:00
  388 ,000709.XSHE ,     2.18   ,2024-03-19 15:00:00
  389 ,000710.XSHE ,     9.88   ,2024-03-19 15:00:00
  390 ,000711.XSHE ,     1.74   ,2024-03-19 15:00:00
  391 ,000712.XSHE ,    12.53   ,2024-03-19 15:00:00
  392 ,000713.XSHE ,     7.31   ,2024-03-19 15:00:00
  393 ,000715.XSHE ,     6.89   ,2024-03-19 15:00:00
  394 ,000716.XSHE ,     5.16   ,2024-03-19 15:00:00
  395 ,000717.XSHE ,     2.44   ,2024-03-19 15:00:00
  396 ,000718.XSHE ,     2.2    ,2024-03-19 15:00:00
  397 ,000719.XSHE ,    11.94   ,2024-03-19 15:00:00
  398 ,000720.XSHE ,     3.42   ,2024-03-19 15:00:00
  399 ,000721.XSHE ,     9.45   ,2024-03-19 15:00:00
  400 ,000722.XSHE ,     9.84   ,2024-03-19 15:00:00
